question_num,type,utterance,page,targetValue,csv_file,Answer
332,3,how many stars have a magnitude greater than zero?,56,14,203,A1: Eight stars have a magnitude greater than zero currently:   - Epsilon Canis Majoris: 1.5   - Beta Canis Majoris: 1.99   - Capella: 0.08   - Beta Aurigae: 1.9   - Zeta Leporis: 3.55   - Upsilon Librae: 3.6   - Zeta Sagittarii: 2.6   - Vega: 0.03
1883,3,how many stars have a current magnitude of at least 1.0?,56,11,203,A2: Six stars have a current magnitude of at least 1.0:   - Epsilon Canis Majoris: 1.5  - Beta Canis Majoris: 1.99   - Beta Aurigae: 1.9 - Zeta Leporis: 3.55   - Upsilon Librae: 3.6   - Zeta Sagittarii: 2.6
1939,3,how much farther (in ly) is epsilon canis majoris than zeta sagittarii?,56,26,203,A3: The difference in distance between Epsilon Canis Majoris (430.0 ly) and Zeta Sagittarii (89.1 ly) is 430.0 - 89.1 = 340.9 light years.
7830,3,how many stars have a distance at maximum of 30 light years or higher?,56,9,203,A4: Thirteen stars have a distance at maximum of 30 light years or higher:
8961,3,is capella's current magnitude more than vega's current magnitude?,56,Yes,203,"A5: Yes, Capella's current magnitude (0.08) is more than Vega's current magnitude (0.03)."
9313,3,what is the difference in the nearest current distance and farthest current distance?,56,491.4,203,A6: The difference in the nearest current distance (Sirius: 8.6 ly) and farthest current distance (Beta Canis Majoris: 500.0 ly) is 500.0 - 8.6 = 491.4 light years.
10860,3,how many stars do not have a current magnitude greater than zero?,56,5,203,A7: Eleven stars do not have a current magnitude greater than zero (they are zero or negative):
11053,3,which star has the highest distance at maximum?,56,Canopus (fourth time),203,A8: Beta Cygni has the highest distance at maximum of the listed entries at 80.0 light years.
12149,1,what is the only star with a distance at maximum of 80?,56,Beta Cygni,203,A9: Beta Cygni is the only star with a distance at maximum of 80 light years.
13956,3,what is the number of stars that have a maximum magnitude less than zero?,56,5,203,A10: All eighteen entries listed have a maximum magnitude less than zero.
6322,3,"based on the table of brazil's results at the fifa world cup between 1930 and 2010, in which listed year did brazil play on average only a single match in round 1?",57,1934,203,A1: 1930 - Brazil played only two matches in the group round in 1930.
9639,3,how many goals did brazil score in the 1950 world cup?,57,22,203,A2: Brazil scored 22 goals in the 1950 World Cup.
9707,3,largest victory,57,7-1,203,"A3: The largest victory was against Sweden in the 1950 World Cup, where Brazil won 7-1."
10189,3,"based on the table of brazil's results at the fifa world cup between 1930 and 2010, in which year did brazil's player romeu score a point in brazil's bronze final match against sweden after previously scoring a point in the semi-final match against italy?",57,1938,203,A4: 1938 - Romeu scored in both the Semi-Final against Italy and the Bronze Final against Sweden in 1938.
10253,3,the most goals scored in a game,57,11,203,A5: The most goals scored in a game by Brazil was 7 goals against Sweden in the 1950 World Cup (7-1 victory).
11170,3,"based on the table of brazil's results at the fifa world cup between 1930 and 2010, in which year did teams score no match points at all during the final between brazil and italy?",57,1994,203,"A6: 1994 - The final between Brazil and Italy in the 1994 World Cup ended 0-0 after extra time, with no goals scored during the match (Brazil won 3-2 on penalties)."
460,1,"according to usgs estimates of mine production, what was the total estimated mine production of niobium minerals from the nation of brazil in 2006?",59,"40,000",203,"A1: The total estimated mine production of niobium minerals from Brazil in 2006 was 40,000 tons."
3167,1,what is the total amount of niobium produced in rwanda in 2000?,59,28,203,A2: There is no data provided on the niobium production in Rwanda for the year 2000.
3382,3,"which countries did not produce more than 1,000 in the year 2006?",59,Australia|Mozambique|Nigeria|Rwanda,203,"A3: Based on the data provided, Australia did not produce more than 1,000 in the year 2006. The value for Australia was given as 200 for 2006."
4017,3,after brazil which country produced the most niobium?,59,Canada,203,A4: The country that produced the most niobium after Brazil is not specified in the data provided.
4897,1,which country produced 50 in 2002 but only 13 in 2003?,59,Congo D.R.,203,A5: There is no information provided about a country that produced 50 in 2002 and 13 in 2003.
6085,2,what country was the top producer of niobium in the year 2003?,59,Brazil,203,"A6: Brazil was the top producer of niobium in the year 2003 with a production of 29,000 tons."
10106,1,"according to usgs estimates of mine production, which nation in 2005 produced a larger quantity of niobium mineral production, nigeria or rwanda?",59,Rwanda,203,"A7: The data does not provide specific figures for either Nigeria or Rwanda in 2005, so a comparison cannot be made."
10236,2,a total of how many (t) of niobium was produced in the world in the year 2000?,59,"32,600",203,A8: There is no total world production figure given for niobium in the year 2000.
12446,2,besides australia which other countries produced more than 100 in the year 2000?,59,Brazil|Canada,203,A9: There is no information provided on countries besides Australia that produced more than 100 in the year 2000.
13132,2,"in 2000, did world mine production according to usgs estimates produce more tons or less tons of output of niobium minerals than in 2002, when a total of 29,900 tons was estimated to have been mined?",59,more,203,"A10: The question cannot be directly answered with the provided data, as there is no total figure for world mine production in 2000 to compare against the 29,900 tons in 2002."
138,2,in which country did thierry tulasne win his last singles title?,60,Switzerland,203,A1: France
709,2,"what are the total games won against claudio pannata on june 10,1985 in bologna,italy?",60,1,203,A2: 12 games (6+6)
1658,3,what is thierry tulasne number of clay court titles?,60,4,203,A3: 5 clay court titles
2870,3,how many tournaments were played indoor?,60,1,203,A4: 1 tournament played indoor
3676,3,how many singles finals did thierry tulasne win against swedish opponents?,60,3,203,A5: 2 finals won against Swedish opponents
4019,3,who was the opponent in the last tournament?,60,Henri Leconte,203,A6: Henri Leconte
4239,3,what were the total number of times the championship was held in italy?,60,2,203,A7: 2 championships held in Italy
5643,2,in which country did thierry tulasne win 2 consecutive titles in 1985,60,Italy,203,A8: Spain
5744,3,who is the only player to be listed twice as an opponent in the finals?,60,Andrés Gómez,203,A9: Andrés Gómez
6299,3,which surface was used the least?,60,Indoor,203,A10: Indoor surface
8053,3,how many were played before 1985?,60,2,203,A11: 3 tournaments played before 1985
8274,3,how many indoor titles did therry tulasnewin?,60,1,203,A12: 1 indoor title
9168,3,which month were the most championships played?,60,September,203,A13: September (3 championships)
11656,3,how many atp tour titles did thierry tulasne win?,60,5,203,A14: 5 ATP tour titles
993,3,"nigeria has the most gold medals, but who has the most medals overall?",61,South Africa,203,A1: South Africa has the most medals overall with 30 medals.
1587,1,the total number of medals won by south africa was how many?,61,30,203,A2: South Africa won a total of 30 medals.
4765,2,how many gold medals has kenya won?,61,5,203,A3: Kenya won 5 gold medals.
4929,1,"which african country had 8 silver medal wins, but no gold medals?",61,Algeria,203,A4: Algeria had 8 silver medals but no gold medals.
5306,3,what is the difference of silver medals between south africa and kenya?,61,7,203,"A5: South Africa won 7 more silver medals than Kenya (South Africa 11, Kenya 4)."
6227,1,which african country had more total medal wins then nigeria?,61,South Africa,203,"A6: South Africa won more total medals than Nigeria (South Africa 30, Nigeria 24)."
7391,3,which nation won the same amount og golds as ghana?,61,Senegal|Tunisia,203,A7: Senegal and Ghana each won 2 gold medals.
7391,3,which nation won the same amount og golds as ghana?,61,Senegal|Tunisia,203,A8: Senegal and Ghana each won 2 gold medals.
7813,3,which nation won more gold medals than south africa?,61,Nigeria,203,"A9: Nigeria won more gold medals than South Africa (Nigeria 13, South Africa 11)."
11006,3,what was the total number of medals won by madagascar?,61,3,203,A10: Madagascar won a total of 3 medals.
11794,3,which nation won the most gold medals?,61,Nigeria,203,A11: Nigeria won the most gold medals with 13.
12394,3,how many gold medals did the ivory coast and namibia win combined?,61,0,203,A12: Ivory Coast and Namibia won 0 gold medals combined.
12786,1,"which 4 countries were scored last, with only 1 bronze medal each?",61,Central African Republic|Uganda|Namibia|Ivory Coast,203,"A13: Central African Republic, Uganda, Namibia, and Ivory Coast each won only 1 bronze medal."
13778,1,which country was ranked as the top in the 1999 all-africa games?,61,Nigeria,203,A14: Nigeria was ranked as the top nation in the 1999 All-Africa Games.
294,1,what is difference in points between c.d. aguila and chalatenango?,67,14,203,A1: The difference in points between C.D. Águila and Chalatenango is 14 points (31 - 17).
921,3,what is the difference between the number of goals scored from the highest scoring team and the lowest scoring team?,67,25,203,A2: The difference between the number of goals scored by the highest scoring team (C.D. Águila with 38 goals) and the lowest scoring team (Chalatenango with 13 goals) is 25 goals.
2906,1,besides c.d. arcense which other team has 17 points?,67,Chalatenango,203,"A3: Chalatenango is the other team with 17 points, besides C.D. Arcense."
5191,3,how many games were played?,67,180,203,"A4: A total of 180 games were played, assuming each of the 10 teams played 18 matches."
5608,3,which team scored the most points?,67,C.D. FAS,203,A5: The team that scored the most points is C.D. FAS with 36 points.
5697,3,which team conceded the least goals?,67,C.D. FAS,203,A6: The team that conceded the least goals is C.D. FAS with 13 goals conceded.
5784,1,which team earned more than 30 points besides c.d. fas?,67,C.D. Águila,203,A7: No other team earned more than 30 points besides C.D. FAS; the next closest is C.D. Águila with 31 points.
6512,3,which team scored the most goals?,67,C.D. Águila,203,A8: The team that scored the most goals is C.D. Águila with 38 goals.
7473,3,how many points did alianza f.c. receive?,67,28,203,A9: Alianza F.C. received 28 points.
10360,3,who was the top team of the apertura 2003 standings?,67,C.D. FAS,203,A10: The top team of the Apertura 2003 standings is C.D. FAS.
12579,3,what two teams ended the season with the same record of wins/loses/draws?,67,San Salvador F.C.|Alianza F.C.,203,"A11: No two teams ended the season with exactly the same record of wins, losses, and draws."
14141,3,which team earned the least amount of points in the apertura 2003 standings?,67,C.D. Atlético Balboa,203,A12: The team that earned the least amount of points in the Apertura 2003 standings is C.D. Atlético Balboa with 15 points.
5009,3,who was the first ambassador the united states has sent to mexico?,69,William Shaler,203,"Q1: The first ambassador the United States sent to Mexico was William Shaler, who served as the Special Diplomatic Agent from 1810 to 1812."
5277,3,how many years has does this table cover?,69,88,203,"Q2: This table covers the years from 1810 to 1898, totaling 88 years."
8514,3,what is the total number of representatives?,69,50,203,Q3: The total number of representatives listed is 50.
8875,3,at least what number of people have the title minister,69,26,203,Q4: At least 19 people have held the title of Minister.
9542,3,who was the last person appointed on this table?,69,Powell Clayton,203,"Q5: The last person appointed on this table was Powell Clayton, who served as the Minister from 1897 to 1898."
11468,3,which united states president appointed the most ambassador's to mexico,69,James Buchanan,203,"Q6: James Buchanan appointed the most ambassadors to Mexico, with at least 6 appointees."
12655,3,count the number of special diplomatic agents and give that number.,69,22,203,Q7: There are 17 Special Diplomatic Agents listed in the table.
876,3,how many nations won at least 10 medals?,70,8,203,"A1: 4 nations won at least 10 medals (France, Romania, Canada, and Quebec)."
1212,1,how many more medals did egypt win than ivory coast?,70,5,203,A2: Egypt won 5 more medals than Ivory Coast (11 medals for Egypt vs. 6 medals for Ivory Coast).
2062,1,how many bronze medals does togo have?,70,1,203,A3: Togo has 1 bronze medal.
10467,1,what was the total medal count of switzerland?,70,8,203,A4: Switzerland's total medal count is 8 medals.
10732,3,how many counties have at least one silver medal?,70,18,203,A5: 14 countries have at least one silver medal.
10744,1,what is the difference between france's and egypt's silver medals?,70,23,203,A6: The difference between France's and Egypt's silver medals is 23 (28 silver medals for France vs. 5 silver medals for Egypt).
12554,3,who placed in first according to medals?,70,France,203,A7: France placed first according to total medals won.
1329,2,yes or no: dundee is ranked in the top third of this for population.,74,No,203,Q1: No
1392,3,which urban area has the least people per square kilometer?,74,Livingston,203,Q2: Livingston
2645,1,what is the total area of edinburg?,74,120.11,203,Q3: 120.11 km²
5805,3,"how many urban areas have a density below 2,500?",74,1,203,Q4: One
7983,3,which urban area ranks first in population density?,74,Edinburgh,203,Q5: Edinburgh
8811,3,"which has a higher population density, greater glasgow or falkirk?",74,Greater Glasgow,203,Q6: Greater Glasgow
9268,1,which urban area is ranked first overall?,74,Greater Glasgow,203,Q7: Greater Glasgow
11064,3,"how many urban areas have a population above 90,000?",74,5,203,Q8: Four
11199,3,which urban area has the largest population?,74,Greater Glasgow,203,Q9: Greater Glasgow
881,1,which driver has the least amount of points?,76,Ralf Schumacher,203,"Q1: Patrick Friesacher, Narain Karthikeyan, Jarno Trulli, Felipe Massa, Nick Heidfeld, David Coulthard, Jacques Villeneuve, Takuma Sato, Christian Klien, Christijan Albers, Mark Webber, and Tiago Monteiro all scored 0 points."
1386,3,"which driver in the top 8, drives a mclaran-mercedes but is not in first place?",76,Kimi Räikkönen,203,Q2: Kimi Räikkönen drives a McLaren-Mercedes and finished 3rd.
1427,1,is there a points difference between the 9th position and 19th position on the list?,76,No,203,"Q3: Yes, there is a points difference as the 9th position (Jarno Trulli) did not earn points, whereas positions in the top 8 did earn points."
4849,3,how many drivers received points from the race?,76,8,203,Q4: 8 drivers received points from the race.
5512,3,how many drivers from germany?,76,3,203,"Q5: There are 3 drivers from Germany: Michael Schumacher, Nick Heidfeld, and Ralf Schumacher."
6176,3,what is the number of toyota's on the list?,76,4,203,Q6: There are 2 Toyotas on the list: driven by Ralf Schumacher and Jarno Trulli.
11191,2,which driver has his grid at 2?,76,Jenson Button,203,Q7: Jenson Button started from the 2nd position on the grid.
11391,3,"after 8th position, how many points does a driver receive?",76,0,203,"Q8: After the 8th position, a driver receives 0 points."
12221,3,which driver came after giancarlo fisichella?,76,Jenson Button,203,Q9: Rubens Barrichello came after Giancarlo Fisichella in the race results.
391,3,which album was the least acclaimed but did reach the billboard 200?,77,i,203,"A1: The album ""i"" was the least acclaimed but did reach the Billboard 200, charting at #152."
2502,1,which album by the magnetic fields reached higher than 100 on the billboard chart?,77,Distortion|Love at the Bottom of the Sea,203,"A2: The albums ""Distortion"" and ""Love at the Bottom of the Sea"" both reached higher than 100 on the Billboard chart."
3722,1,was distortion or love at the bottom of the sea the highest rated album?,77,Distortion,203,"A3: ""Distortion"" was the highest rated album between the two, reaching #77 on the Billboard 200."
4815,3,what is the total number of albus from this chart that made the billboard 200?,77,4,203,A4: Four albums from this chart made the Billboard 200.
6936,3,what was the earliest released album?,77,Distant Plastic Trees,203,"A5: The earliest released album was ""Distant Plastic Trees"" in 1991."
7561,3,how many years after 1999 did merge records release their next album?,77,5,203,"A6: Merge Records released their next album in 1994, which is 5 years after 1999."
9072,3,what album title came next after get lost?,77,69 Love Songs,203,"A7: The album title that came next after ""Get Lost"" is ""69 Love Songs."""
12048,1,realism and i were above or below number 100 on the billboard 200?,77,Below,203,"A8: Both ""Realism"" and ""i"" were below number 100 on the Billboard 200."
398,3,which company has the least number of employees?,83,Vitol,203,"Q1: The company with the least number of employees is Vitol, with 2,800 employees."
1365,3,what company has the top revenue?,83,"Wal-Mart Stores, Inc.",203,"Q2: The company with the top revenue is Wal-Mart Stores, Inc., with $469 billion."
2242,1,who earned the same revenue as hon hai precision industry?,83,Ford Motor Company,203,"Q3: The information about Hon Hai Precision Industry's revenue is not provided, so a comparison cannot be made."
3427,1,how many employees does vitol have?,83,"2,800",203,"Q4: Vitol has 2,800 employees."
3718,3,how many oil and gas industries made the top 10 in ranking of revenue list?,83,6,203,"Q5: Three oil and gas industries made the top 10 in the ranking of revenue list: Royal Dutch Shell, Sinopec Group, and BP."
4348,3,what is the company with the highest revenue in the automotive industry?,83,Volkswagen Group,203,"Q6: The company with the highest revenue in the automotive industry is Toyota, with $222 billion."
6984,3,how many companies have at least 200 billion in revenue for oil and gas?,83,8,203,"Q7: Six oil and gas companies have at least $200 billion in revenue: Royal Dutch Shell ($467 billion), Sinopec Group ($411 billion), BP ($379 billion), ExxonMobil (not specifically listed in the provided data but typically above $200 billion), China National Petroleum Corporation ($425 billion), and Saudi Aramco ($311 billion)."
10039,3,which company is ranked at the top with the largest revenue?,83,"Wal-Mart Stores, Inc.",203,"Q8: Wal-Mart Stores, Inc. is ranked at the top with the largest revenue."
11825,3,what company is ranked below apple?,83,Japan Post Holdings,203,Q9: The information about Apple's ranking and the company ranked directly below is not provided in the list given.
1772,3,the least amount of females,88,Romanian,203,Q1: 6 (Romanian-speaking females)
3155,3,which language had the least female speakers?,88,Romanian,203,Q2: Romanian
4436,3,which language had the smallest number of females speaking it.,88,Romanian,203,Q3: Romanian
7569,2,is german above or below russia in the number of people who speak that language?,88,below,203,"Q4: Below (Russian speakers are 87,850, German speakers are 77,160)"
9363,2,number of male russian speakers,88,13 551,203,"Q5: 13,551"
10542,3,what was the top language from the one's whose percentage was >0.01,88,Romanian,203,Q6: Russian (4.54% of the total population)
11390,3,what was the next most commonly spoken language in poland after russian?,88,German,203,Q7: Yiddish (16.41% of the total population)
11748,3,what is the highest percentage of speakers other than polish?,88,Yiddish,203,Q8: Yiddish (16.41% of the total population)
11933,3,which language had the most number of people speaking it.,88,Polish,203,"Q9: Polish (1,420,436 speakers)"
973,2,what religious group is the only one with at least 90% literacy %?,90,Jain,203,A1: Jain community.
2630,3,how many of these religious groups have a literacy rate of above 60%?,90,5,203,"A2: Three (Hindus, Christians, Jains)."
3608,1,how long was the timespan in which growth was measured?,90,10 years,203,A3: 10 years (1991 to 2001).
4756,3,what has the least percentage in india?,90,Jain,203,A4: Jain community.
5674,3,the number of religious groups with a sex ratio of more than 1000 is how many?,90,1,203,A5: None (no religious group has a sex ratio of more than 1000).
7163,2,which is the only religious group to have a literacy rate above 90%?,90,Jain,203,A6: Jain community.
7806,3,which religion has the highest percentage represented in india?,90,Hindu,203,A7: Hindu community.
10636,3,how many religious groups have a leteracy rate of 70% at most?,90,3,203,"A8: Two (Hindus, Buddhists)."
12704,3,which religious group has the highest population %?,90,Hindu,203,A9: Hindu community.
769,1,in which olympic games did arasay thondike not finish in the top 20?,91,2012,203,"Q1: Arasay Thondike did not finish in the top 20 at the 2012 Olympic Games held in London, United Kingdom, where she finished 23rd in the qualifiers."
3935,3,does arasay thondike have more/less than 4 1st place tournament finishes?,91,less,203,Q2: Arasay Thondike has more than 4 1st place tournament finishes.
10802,3,how many times was the number one position earned?,91,3,203,Q3: Arasay Thondike earned the number one position 3 times:
13610,3,what is the number of competitions held in cuba?,91,3,203,Q4: The number of competitions held in Cuba is 3:
365,3,which elected successor took office the earliest?,93,Henry E. Prickett,203,"Q1: Peter J. Pefley took office the earliest as an elected successor, in July 1887."
829,3,who was appointed before h.w. whillock?,93,Byron E. Hyatt,203,Q2: S. H. Hays was appointed before H. W. Whillock.
3819,3,"who resigned earlier, james p. pope or h. w. whillock?",93,James P. Pope,203,"Q3: James P. Pope resigned earlier than H. W. Whillock. Pope resigned on February 13, 1933, while Whillock resigned on May 11, 1942."
4087,1,what number of years did john hailey serve?,93,0,203,Q4: John Hailey never took office; he served 0 years.
6081,3,how many never took office?,93,2,203,"Q5: Three people never took office: L. B. Lindsay, John Hailey, and Dirk Kempthorne (though the latter was appointed and resigned on the same day)."
12206,1,who was appointed after dirk kempthorne?,93,H. Brent Coles,203,Q6: H. Brent Coles was appointed after Dirk Kempthorne.
935,1,how many strokes marked the margin of victory for justin rose in 2011?,94,2,203,A1: Justin Rose won by a margin of 2 strokes in 2011.
1025,3,first player to win with a score over 70 for one round?,94,Justin Rose,203,A2: Dustin Johnson was the first to win with a score over 70 in one round (70 in the second round in 2010).
1165,3,besides tiger woods what other player won between 2007 and 2009?,94,Camilo Villegas,203,A3: Camilo Villegas won the BMW Championship in 2008.
1220,3,after justin rose won in 2011 who won next?,94,Rory McIlroy,203,"A4: After Justin Rose won in 2011, Rory McIlroy won next in 2012."
6905,3,what is the total amount of american players that have won the western open since 2007?,94,3,203,"A5: One American player, Dustin Johnson, has won the BMW Championship from 2007 to 2013."
12314,3,which player earned the most between 2007 and 2013 in the western open?,94,Tiger Woods,203,"A6: Tiger Woods earned the most between 2007 and 2013, securing two wins (2007 and 2009)."
12866,3,who was the last winner of the western open(2013)?,94,Zach Johnson,203,A7: The last winner of the BMW Championship in 2013 was Zach Johnson.
13857,1,who won after tiger woods in 2010?,94,Dustin Johnson,203,"A8: After Tiger Woods won in 2009, Dustin Johnson won in 2010."
14072,3,which player won by the least number of strokes?,94,Dustin Johnson,203,"A9: Dustin Johnson won by the least number of strokes, 1 stroke, in 2010."
14074,3,count the number of times the western open has been held at the cog hill golf and country club since 2007.,94,4,203,"A10: The BMW Championship was held at Cog Hill Golf & Country Club four times since 2007 (2007, 2009, 2010, 2011)."
925,1,"in equal sized portions, do potatoes or plantains contain more grams of protein?",97,potatoes,203,A1: The protein content for potatoes and plantains is not provided directly in the given data. Therefore I cannot determine which contains more grams of protein.
1124,3,what food has the highest amount of magnesium?,97,Maize / Corn,203,A2: Maize/Corn has the highest amount of magnesium at 127mg per 100g.
4933,3,what staple has the least amount of fat?,97,Sweet potato,203,A3: The data provided does not include specific fat content for each staple so I cannot determine which has the least amount of fat.
5013,3,which of the major staple foods contains the highest number of grams of carbohydrates in a 100 gram portion?,97,Rice,203,A4: Rice contains the highest number of grams of carbohydrates per 100g portion with 80g.
9207,2,what is the difference in grams of water between 100g of wheat and 100g of rice?,97,1,203,A5: The difference in grams of water between 100g of wheat (13g) and 100g of rice (12g) is 1 gram.
10759,3,how many staples have more than 5 grams of fiber?,97,3,203,A6: Based on the data the staples with more than 5 grams of fiber per 100g are:   - Maize/Corn: 7.3g   - Wheat: 12.2g  - Sorghum: 6.3g   There are 3 staples that meet this criterion.
11091,3,how many staples have at least 1 mg of zinc?,97,3,203,A7: Zinc content is not specified in the provided data so I cannot determine how many staples have at least 1 mg of zinc.
12744,3,what staple has the most potassium?,97,Yam,203,A8: Yam contains the most potassium at 816mg per 100g.
13651,3,at least how many grams of water do the staple foods have?,97,9,203,A9: The lowest amount of water content mentioned for any staple is 9g per 100g found in Sorghum. Therefore at least 9 grams of water is the minimum among the staple foods listed.
1272,3,which morgan creek film grossed the most money prior to 1994?,98,Robin Hood: Prince of Thieves,203,"A1: ""Robin Hood: Prince of Thieves"" grossed the most money prior to 1994 with $390,493,908 worldwide."
1369,3,what is the top grossing film?,98,Robin Hood: Prince of Thieves,203,"A2: ""Robin Hood: Prince of Thieves"" is the top-grossing film with $390,493,908 worldwide."
3293,2,did true romance make more or less money than diabolique?,98,Less,203,"A3: ""True Romance"" made less money than ""Diabolique."" ""True Romance"" grossed $12,281,551, while ""Diabolique"" grossed $17,100,369 worldwide."
4500,1,was the budget for young guns more or less than freejack's budget?,98,less,203,"A4: The budget for ""Young Guns"" was less than ""Freejack's"" budget. ""Young Guns"" had a budget of $11 million, and ""Freejack"" had a budget of $30 million."
4932,3,what movie came out after bad moon?,98,Wild America,203,"A5: The movie that came out after ""Bad Moon"" was ""Diabolique."""
5199,3,what movie was made immediately before the pledge?,98,The In Crowd,203,"A6: The movie made immediately before ""The Pledge"" was ""Angel Eyes."""
6665,3,what was the last movie morgan creek made for a budget under thirty million?,98,Ace Ventura Jr: Pet Detective,203,"A7: ""Diabolique"" was the last movie Morgan Creek made for a budget under thirty million with a budget of $45 million."
7002,1,what was the only movie with a 48 million dollar budget?,98,Robin Hood: Prince of Thieves,203,A8: There is no movie listed with a $48 million budget; it is a typographical error in the question.
7758,3,which morgan creek film grossed the most worldwide?,98,Robin Hood: Prince of Thieves,203,"A9: ""Robin Hood: Prince of Thieves"" grossed the most worldwide with $390,493,908."
8248,2,"which film had a higher budget, ace ventura: when nature calls, or major league: back to the minors?",98,Ace Ventura: When Nature Calls,203,"A10: ""Ace Ventura: When Nature Calls"" had a higher budget than ""Major League: Back to the Minors."" ""Ace Ventura: When Nature Calls"" had a budget of $30 million, whereas ""Major League: Back to the Minors"" is not listed with a budget, suggesting a lower profile production."
9426,3,how many films were there in 1990?,98,5,203,"A11: There were four films in 1990: ""Coupe de Ville,"" ""The Exorcist III,"" ""Nightbreed,"" and ""Young Guns II."""
11207,2,what is the number of films directed by david s. ward?,98,2,203,"A12: David S. Ward directed two films: ""Major League"" and ""Major League II."""
12650,3,"after young guns, what was the next movie with the exact same budget?",98,Major League,203,"A13: After ""Young Guns,"" the next movie with the same budget of $11 million was ""The Exorcist III."""
13801,2,how many films did morgan creek make in 2006?,98,2,203,"A14: Morgan Creek made two films in 2006: ""The Good Shepherd"" and ""Man of the Year."""
668,3,what is the total number dallara chassis listed in the table?,99,5,203,"A1: The total number of Dallara chassis listed is 5 (from Edmonton IndyIndex 3, 4, 5, 6, 7)."
1456,3,which team won the champ car world series the year before rusport?,99,Newman/Haas Racing,203,A2: Newman/Haas Racing won the Champ Car World Series the year before RuSPORT (2005 season).
3237,3,how many times did sébastien bourdais win the champ car world series between 2005 and 2007?,99,2,203,"A3: Sébastien Bourdais won the Champ Car World Series three times between 2005 and 2007 (2005, 2006, 2007)."
4221,3,was the average speed in the year 2011 of the indycar series above or below the average speed of the year before?,99,below,203,A4: The average speed in 2011 (90.949 mph) was below the average speed of the year before (101.666 mph in 2010).
6057,3,how many different teams are represented in the table?,99,4,203,"A5: Four different teams are represented: Newman/Haas Racing, Chip Ganassi Racing, Penske Racing, RuSPORT."
7857,3,how many flags other than france (the first flag) are represented?,99,3,203,"A6: As there is no information given about flags or nationalities, this question cannot be answered from the provided information."
9163,3,what is the least amount of laps completed?,99,75,203,A7: The least amount of laps completed was 75 laps in Edmonton IndyIndex 7.
13002,3,how many total honda engines were there?,99,4,203,"A8: There were 5 Honda engines used (from Edmonton IndyIndex 3, 4, 5, 6, 7)."
128,3,"in 2008 in track and field events who broke more world records, usain bolt or haile gebrselassie?",102,Usain Bolt,203,Q1: Usain Bolt broke more world records.
526,3,in 2008 in track and field events how many world records did usain bolt break?,102,4,203,Q2: Usain Bolt broke three world records.
952,3,is the best time for the 100 m more or less than the time for the 110 m hurdles?,102,less,203,Q3: The best time for the 100 m (9.69 seconds) is less than the time for the 110 m hurdles (12.87 seconds).
1417,3,"which record is faster, 50km race walk or marathon",102,Marathon,203,Q4: The marathon record (2:03:59) is faster than the 50 km race walk (3:34:14).
2538,3,what country's 200 m was the quickest?,102,Jamaica,203,Q5: Jamaica's 200 m was the quickest.
3983,1,in 2008 in track and field events how long did it take for dayron robles to run the 110 m hurdles when he broke the world record.,102,12.87,203,Q6: Dayron Robles ran the 110 m hurdles in 12.87 seconds when he broke the world record.
4048,3,in how many places were the records made?,102,5,203,Q7: Records were made in six different places.
5638,3,what is the longest time on the table?,102,3:34:14,203,"Q8: The longest time on the table is 3 hours, 34 minutes, and 14 seconds for the 50 km race walk."
6091,3,what is last city in china to host world record,102,"Beijing, China",203,Q9: The last city in China to host a world record was Beijing.
7577,3,what is the number of countries listed in the table,102,4,203,"Q10: Four countries are listed in the table (Jamaica, Cuba, Russia, Ethiopia)."
8036,3,how many world records does ethiopia hold?,102,1,203,Q11: Ethiopia holds one world record.
8529,3,what is the number of world records that were recorded in august?,102,3,203,Q12: Three world records were recorded in August.
9436,1,who set consecutive world records in the 100m?,102,Usain Bolt,203,Q13: Usain Bolt set consecutive world records in the 100m.
9539,1,what is the average speed on each runner in the 4 x 100 m relay?,102,37.10,203,Q14: The average speed of each runner in the 4 x 100 m relay is approximately 10.73 m/s.
10288,3,how many records were set in beijing?,102,3,203,Q15: Three records were set in Beijing.
12702,3,which person set at least 2 world records?,102,Usain Bolt,203,Q16: Usain Bolt set at least two world records.
14,3,which athlete was from south korea after the year 2010?,104,Kim Yu-na,203,Q1: Kim Yu-na from South Korea competed in the Olympics from 2010 to 2014.
284,3,how many total medals has the united states won in women's figure skating?,104,16,203,Q2: The United States won a total of 11 medals in women's figure skating:- Carol Heiss: 1 gold 1 silver- Tenley Albright: 1 gold 1 silver- Michelle Kwan: 1 silver 1 bronze- Nancy Kerrigan: 1 silver 1 bronze- Beatrix Loughran: 2 silver 1 bronze
3169,1,how many silver medals did evgeni plushenko get?,104,2,203,Q3: Evgeni Plushenko won 2 silver medals.
3261,3,what was the greatest number of gold medals won by a single athlete?,104,3,203,Q4: The greatest number of gold medals won by a single athlete was 3 achieved by both Sonja Henie and Irina Rodnina with Alexander Zaitsev.
7018,3,how many more silver medals did gillis grafström have compared to sonja henie?,104,1,203,Q5: Gillis Grafström had 1 silver medal while Sonja Henie had no silver medals; therefore Grafström had 1 more silver medal than Henie.
8573,3,how many medals have sweden and norway won combined?,104,7,203,Q6: Sweden and Norway combined have won 9 medals:- Sweden (Gillis Grafström): 3 gold 1 silver- Norway (Sonja Henie): 3 gold
